goodbye	tawa pona
goodbye	mi tawa
good morning	suno pona
good day	suno pona
good afternoon	suno pona
good evening	suno pini pona
good night	lape pona
today	tenpo suno ni
tomorrow	tenpo suno kama
yesterday	tenpo suno pini
tonight	tenpo pimeja ni
last night	tenpo pimeja pini
week	tenpo suno luka tu
day	tenpo suno
night	tenpo pimeja
monday	tenpo suno pi nanpa wan
tuesday	tenpo suno pi nanpa tu
wednesday	tenpo suno pi nanpa tu wan
thursday	tenpo suno pi nanpa tu tu
friday	tenpo suno pi nanpa luka
saturday	tenpo suno pi nanpa luka wan
sunday	tenpo suno pi nanpa luka tu
weekend	tenpo suno pi pali ala
please	mi wile
midnight	tenpa pimeja mute
noon	tenpo pi suno sewi
sunny	suno li lon
rainy	telo li kama tan sewi
cloudy	kon sewi li jo e walo
windy	kon tawa li lon
hot	seli li lon
cold	lete li lon
snowy	ko lete li kama
great	pona mute
enough	nanpa pona
perhaps	ken la
maybe	ken la
orange	loje jelo
green	jelo laso
purple	laso loje
pink	loje walo
brown	kule ma
gray	walo pimeja
gold	jelo mani
silver	walo mani
gold	kiwen mani jelo
silver	kiwen mani walo
where	lon seme
why	tan seme
because	tan ni:
who	jan seme
whom	jan seme
how	tan seme
when	tenpo seme
happy	pilin pona
sad	pilin ike
angry	pilin ike wawa
excited	pilin pona tan tenpo kama
nervous	pilin nasa tan tenpo kama
scared	pilin ike tan tenpo kama
rain	telo pi kama anpa
rain	kama telo anpa
heavy rain	telo pi kama anpa suli
light rain	telo pi kama anpa lili
drizzle	telo pi kama anpa pi lili mute
drizzle	kama telo anpa lili
raindrop	kama telo anpa wan
hurricane	telo pi kama anpa mute pi ike
storm	telo pi kama anpa pi ike
water pitcher	poki telo
pour	pana e telo tan poki
capacity	ali poki
drink	moku e telo
drink	moku telo
damp	( pi ) telo lili
towel	lipu
dry	( pi ) telo ala
dry	weka e telo
bottle	poki telo
sip	moku lili e telo
sip	kama jo e telo kepeken uta
flood	kama telo mute
flash flood	telo mute pi tenpo lili
tidal wave	telo kama pi suli mute
pond	telo mute kala
ocean	telo suli
sea	telo suli
wave	telo kama
whirlpool	telo pi tawa sike
froth	telo kon
drown	moli tan telo
water ski	tomo tawa telo
water ski	tomo tawa telo
bubble	sike kon
sail	len kon pi tomo tawa telo
sail	tawa kepeken kon lon telo
boat	tomo tawa telo
ship	tomo tawa telo
row	pana e ilo tawa linja tawa telo
oar	ilo tawa pi tomo tawa telo
drain	telo kama ala
drain	lupa telo
ice	telo kiwen lete
iceberg	telo kiwen lete suli
tide	telo kama sama
steam	telo kon
float	sewi lon telo
swim	telo
water park	telo tomo musi
river	telo tawa
teardrop	telo lili oko
stream	telo linja lili
puddle	telo lili
cry	pana e telo oko
shower	tomo telo sijelo
shower	telo e sijelo
wash	telo
sink	anpa tawa anpa telo
sink	poki telo
flush	pana e telo jaki
toilet	ilo telo pi pana jaki
spout	ijo telo
fountain	ijo telo musi
bathroom	tomo telo
leak	pakala lili pi poki telo
leak	pana lili e telo
tree	kasi suli
oak	kasi suli
willow	kasi suli
linden	kasi suli
poplar	kasi suli
forest	ma kasi
jungle	ma kasi telo
flower	kasi kule
rose	kasi loje
rainforest	ma kasi
root	noka kasi
mud	anpa jaki
dirt	anpa ko
bark	selo kasi
branch	luka kasi
twig	luka kasi lili
trunk	sijelo kasi
tree rings	sike kasi
lumberjack	jan pi pakala kasi
axe	ilo pi pakala kasi
deforestation	kasi suli pakala mute
